Line_id,Inventory_id
"89C3E01C-F606-487D-8B10-3694A35537E1","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"0D65145B-F95C-4893-98AB-A6BE5A0E21D0","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"8F70004A-C891-4513-930A-E0A64E162D8B","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"4F213ACF-1393-4F38-925D-1DEFE68F1161","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"DC60CD0C-E82F-4792-AAE5-CE0552C0012B","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"1BE94625-6635-4E43-B629-95464D0AA60F","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"48ED2341-57FD-405A-8F60-0D680CE7CC8F","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"9CEA8040-7762-407A-84E1-AE98CE387B79","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"AADC8D25-B283-429F-9ED8-454946542544","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"363AA14C-2692-4257-A16A-B873388DC508","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"D803C24C-B744-4822-8126-21A988B58182","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"1F6078DB-4C4B-49F8-BA53-7A67F51F5239","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"8FA08892-F4C3-4E85-B50A-5A53A8546660","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"2DD4D4D6-9586-4DE0-A843-5B24335E4550","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"98BCA4C2-612E-4386-8698-4898EBF4D11E","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"DCA65792-668E-4F71-9833-1B5FFBEE74D5","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"381586EC-0ABE-4D3C-9F3D-6379E57616E5","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"6A4462AC-9133-4F71-A1DF-01025E3EF009","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"115C117F-67E3-4C22-A514-B05C57E5250D","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"552A121F-563E-470F-BA85-D3DAAE661381","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"77D16F4A-6D10-425F-B980-3D8AC055314D","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"5DE50989-76B8-47C2-9073-94D75DC6A7FF","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"6AE62155-1FE3-4CDF-B936-B500B3A14C85","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"0BD90BF6-766F-45EB-95BB-6D1C0B27708C","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"03097259-2C2F-4F74-B198-7F2B71129C8F","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"232245A8-3C36-4E7E-B91F-A7A3D2F610DF","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"56E40153-6683-497E-B135-3DC42CB031A4","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"F22E853C-3A1E-489E-B03C-948DE3C0941A","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"564858EE-602F-47BB-BEFD-6388E2A08F2B","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
"F3235AD6-CE8B-47AA-B28D-3A7BEE555ADF","091E1819-D655-4FA6-8D7C-F238FF5A2D0A"
