Object ID,Line Phrase,Word Count,Platonic Object,Word Form,Gender,Process End Year,Platonic Room,Room Phrase,Provenance
7750,Item 1 gardacorcium de camelino cum penna edulorum,8,garde-corps,gardacorsium,,1324,Dining hall,In aula sequntur hec bona,Marseille
7754,Item 2 camisie,3,chemise,camisia,,1324,Dining hall,In aula sequntur hec bona,Marseille
7757,Item 1^a^ zona de lana cum bursa de filo,9,belt,zona,,1324,Dining hall,In aula sequntur hec bona,Marseille
7760,Item 1^a^ gippa vetera,4,jupe,gipa,,1324,Dining hall,In aula sequntur hec bona,Marseille
7830,Et primo unum mantellum et supertunicale garnita seu freada ^cum firmaturis et gautes^ argento et margaritis foirata de variis et quandam tunicam freada argento et margaritis eodem modo ut supertunicale predictum,31,cloak,mantellum,,1339,,,Marseille
7833,Item quoddam supertunicale rubeo munitum eo modo quo aliud supertunicale predictum,11,supertunica,supertunica,,1339,,,Marseille
7834,Item quoddam aliud supertunicale de samit viridi cum botonibus 12 danbro et firmaturis et gautea de argento et margaritis,19,supertunica,supertunica,,1339,,,Marseille
7835,Item quoddam supertunicale de violeto foiratum de escurolo,8,supertunica,supertunica,,1339,,,Marseille
7836,Item quoddam supertunicale de media lana foiratum de sendato rubeo munitum argento et margaritis modo quo supra,17,supertunica,supertunica,,1339,,,Marseille
7837,Item quoddam supertunicale de mesclat foiratum de agnis cum 6 butonibus aureis et gautee de margaritis et firmaturis argenteis,19,supertunica,supertunica,,1339,,,Marseille
7838,Item quoddam mantellum de livido foiratum de variis,8,cloak,mantellum,,1339,,,Marseille
7839,Item aliud mantellum de vair foiratum de cuniculis,8,cloak,mantellum,,1339,,,Marseille
7840,Item quandam tunicam de violeto an causana argentea et de margaritis,11,tunic,tunica,,1339,,,Marseille
7841,Item unam capam de livido foiratam de sendato rubeo,9,cape,capa,,1339,,,Marseille
7842,Item lo frez unius mantelli de camelot quod erat de margaritis,11,fringe,fresium,,1339,,,Marseille
7852,Item quasdam zonas argenteas quarum una erat de seda viridi et alia de sendar,14,belt,zona,,1339,,,Marseille
7853,Item una garllanda cum grossis margaritis que habebat 6 cap de margaritis,12,headband,garlanda,,1339,,,Marseille
7854,item aliam gallanda de margaritis,5,headband,garlanda,,1339,,,Marseille
7855,Item aliam {garlandam} de margaritis,5,headband,garlanda,,1339,,,Marseille
7955,Item duo tamisia,3,chemise,camisia,,1348,,,Marseille
7975,Item unum capellum de feurre,5,cap,capellus,,1348,,,Marseille
7989,Item tunicam mulieris de pebrello,5,tunic,tunica,female,1348,,,Marseille
7990,Item tunicam hominis de blavo,5,tunic,tunica,male,1348,,,Marseille
7991,Item mantellum unum rubeum,4,cloak,mantellum,,1348,,,Marseille
7992,Item gardacossium franseum mulierem panni de rubeo positum in pignore pro uno floreno pro exequiis expendito,16,garde-corps,gardacorsium,female,1348,,,Marseille
7997,Item mantulum unum pauci valoris,5,cloak,mantellum,,1348,,,Marseille
8010,Item unam tunicam mulieris de blavo,6,tunic,tunica,female,1348,,,Marseille
8091,Item duo stivalia vetera,4,boots,stivalus,,1348,Dining hall,Item in aula dicti ospici ,Marseille
8119,Item unum mantellum presbiteri,4,cloak,mantellum,,1348,bedroom,Item in quadam camera ,Marseille
8120,Item gardacossinum de mesclato cum penna agnorum,7,garde-corps,gardacorsium,,1348,bedroom,Item in quadam camera ,Marseille
8137,Item unam tunicam hominis de misclato foderatam de tela,9,tunic,tunica,male,1348,bedroom,Item in quadam camera ,Marseille
8138,Item unam tunicam albam hominis,5,tunic,tunica,male,1348,bedroom,Item in quadam camera ,Marseille
8169,Item duos anulos auri,4,ring,anulus,,1348,bedroom,Item in alia camera ,Marseille
8181,Item unum froyre clamidis caffatani viridi paucis valoris,8,lining,froyrum,,1348,bedroom,In alia camera,Marseille
8185,Item tunicam et ganachiam de alio panno rubeo cum penna grossa varia in dicta ganachia,15,tunic,tunica,,1348,bedroom,In alia camera,Marseille
8189,Item clamidem cum penna varia et –cu– gardacossium et tunica de bruneta mulieris,13,cloak,clamis,female,1348,bedroom,In alia camera,Marseille
8191,Item mantellum de mesclato rubeo cum penna varia,8,cloak,mantellum,,1348,bedroom,In alia camera,Marseille
8194,Item unum cossetum panni coloris ferri cum sindone paucis valoris mulieris,11,jacket,corsitium,female,1348,bedroom,In alia camera,Marseille
8196,Item unum gardacossium lumbardum cum clamide de panno rubeo et penna paucis valoris,13,garde-corps,gardacorsium,,1348,bedroom,In alia camera,Marseille
8202,Item duo paria manicarum de violeto et alia de camelino,10,sleeves,manica,,1348,bedroom,In alia camera,Marseille
8203,Item capellum unum domine solis,5,cap,capellus,female,1348,bedroom,In alia camera,Marseille
8205,Item bursa una de sirico cum sex anulis auri,9,purse,bursa,,1348,bedroom,In alia camera,Marseille
8206,Item zonam unam parvam de argento,6,belt,zona,,1348,bedroom,In alia camera,Marseille
8207,Item unam burssam de velluto viridi,6,purse,bursa,,1348,bedroom,In alia camera,Marseille
8208,Item duas bursas de sirico,5,purse,bursa,,1348,bedroom,In alia camera,Marseille
8210,Item unam bursetam dauratam paucis valoris,6,purse,bursa,,1348,bedroom,In alia camera,Marseille
8275,Item unum gardacossium de pessevermelho cum penna alungnorum,8,garde-corps,gardacorsium,,1348,,,Marseille
8276,Item unum mantellum de percepto rubeo cum penna varia,9,cloak,mantellum,,1348,,,Marseille
