id,date_of_plunder,town,lat,lon,object,category
"4178","05 November, 1335","Arsina","43.891235","10.494243","sorghum","foodstuffs"
"4179","05 November, 1335","Arsina","43.891235","10.494243","panic","foodstuffs"
"4180","05 November, 1335","Arsina","43.891235","10.494243","figs","foodstuffs"
"4182","05 November, 1335","Arsina","43.891235","10.494243","panic","foodstuffs"
"5502","07 October, 1338","Arsina","43.891235","10.494243","grapes","foodstuffs"
"6152","14 December, 1338","Arsina","43.891235","10.494243","wine","foodstuffs"
"6153","14 December, 1338","Arsina","43.891235","10.494243","wine","foodstuffs"
"6155","14 December, 1338","Arsina","43.891235","10.494243","wine","foodstuffs"
"6507","07 October, 1342","Arsina","43.891235","10.494243","wine","foodstuffs"
"6509","07 October, 1342","Arsina","43.891235","10.494243","vinegar","foodstuffs"
"3563","04 July, 1335","Arsina","43.891235","10.494243","grain","foodstuffs"
"3564","04 July, 1335","Arsina","43.891235","10.494243","grain","foodstuffs"
"3565","04 July, 1335","Arsina","43.891235","10.494243","grain","foodstuffs"
"3566","04 July, 1335","Arsina","43.891235","10.494243","grain","foodstuffs"
"744","20 March, 1333","Badia Cantignano","43.803411","10.505083","wine","foodstuffs"
"747","20 March, 1333","Badia Cantignano","43.803411","10.505083","cauldron","tools and implements"
"748","20 March, 1333","Badia Cantignano","43.803411","10.505083","flax","materials"
"4139","16 November, 1335","Badia Cantignano","43.803411","10.505083","cattle","animal"
"1439","26 June, 1334","Balbano","43.832501","10.395874","flax","materials"
"1440","26 June, 1334","Balbano","43.832501","10.395874","rye","foodstuffs"
"1441","26 June, 1334","Balbano","43.832501","10.395874","grain","foodstuffs"
"1442","26 June, 1334","Balbano","43.832501","10.395874","figs","foodstuffs"
"1504","28 June, 1334","Balbano","43.832501","10.395874","flax","materials"
"1505","28 June, 1334","Balbano","43.832501","10.395874","grain","foodstuffs"
"1784","15 August, 1334","Balbano","43.832501","10.395874","grain","foodstuffs"
"1785","15 August, 1334","Balbano","43.832501","10.395874","millet","foodstuffs"
"1948","25 August, 1334","Balbano","43.832501","10.395874","millet","foodstuffs"
"1949","25 August, 1334","Balbano","43.832501","10.395874","sorghum","foodstuffs"
"1950","25 August, 1334","Balbano","43.832501","10.395874","panic","foodstuffs"
"1951","25 August, 1334","Balbano","43.832501","10.395874","grapes","foodstuffs"
"2080","01 September, 1334","Balbano","43.832501","10.395874","Manure","materials"
"2081","01 September, 1334","Balbano","43.832501","10.395874","hay","fodder"
"3146","10 May, 1335","Balbano","43.832501","10.395874","hay","fodder"
"3420","26 June, 1335","Balbano","43.832501","10.395874","grain","foodstuffs"
"3542","24 June, 1335","Balbano","43.832501","10.395874","grain","foodstuffs"
"5350","14 September, 1338","Balbano","43.832501","10.395874","millet","foodstuffs"
"5396","21 September, 1338","Balbano","43.832501","10.395874","wine","foodstuffs"
"5397","21 September, 1338","Balbano","43.832501","10.395874","panic","foodstuffs"
"5463","25 September, 1338","Balbano","43.832501","10.395874","grapes","foodstuffs"
"7634","25 August, 1334","Balbano","43.832501","10.395874","sorghum","foodstuffs"
"7697","01 September, 1334","Balbano","43.832501","10.395874","straw","fodder"
"4284","11 December, 1335","Barga","44.07309","10.487126","grain","foodstuffs"
"4402","15 May, 1338","Barga","44.07309","10.487126","jacket","clothing"
"6160","15 December, 1338","Barga","44.07309","10.487126","tunic","clothing"
"14136","15 December, 1338","Barga","44.07309","10.487126","surcoat","clothing"
"4606","23 June, 1338","Borgo a Buggiano","43.880216","10.731841","cloak","clothing"
"1225","04 April, 1334","Bozzano","43.865157","10.360812","wine","foodstuffs"
