location,latitude,longitude
"S. Colombano a Settimo","43.78001","11.13727"
"Pieve di Compito","43.780182","10.580197"
"Conca","43.90072","10.30499"
"S. Concordio a Pulia","43.834031","10.495628"
"S. Concordio di Moriano","43.894095","10.494396"
"Pieve di Controne","44.02341","10.61944"
"S. Gimignano","44.03007","10.61749"
"Coreglia Antelminelli","44.062521","10.525356"
"Corella","43.94193","11.56031"
"Corezzo; Serra","43.77024","11.91936"
"Corsagna","43.97848","10.56408"
"Corsanico","43.911283","10.303939"
"Ville di Corsano","43.22435","11.33306"
"Corsena","44.015522","10.592788"
"S. Fabiano","43.44763","11.21805"
"Coselli","43.797397","10.497561"
"Cosona","43.10933","11.60335"
"Cotone","43.82787","10.40622"
"Cotrosso","43.93454","10.5156"
"Cozzile","43.91781","10.74279"
"Deccio","43.933451","10.557487"
"Deccio","44.09815","10.38047"
"Decimo","43.66105","11.19718"
"Diecimo","43.96465","10.50869"
"Domazzano","43.932647","10.494094"
"S. Donato","43.83914","10.48594"
"Ducenta","43.88837","10.55011"
"Pieve a Elici","43.885588","10.337816"
"S. Elena in Balano","43.14435","11.6773"
"S. Michele in Escheto","43.815815","10.480493"
"Fabbiana","44.00396","10.90385"
"Fabbiano","44.007687","10.228938"
"Fabiano del Mugello","43.92614","11.52986"
"S. Fabiano","43.23882","11.4259"
"S. Fabiano; Case Montefolchi ","43.62023","11.25318"
"Casa Fibbiano","43.42166","10.92142"
"Fabio","43.94169","11.14362"
"Monte Frenario; Fagna","43.9848","11.34818"
"Fagnano","43.376","11.34193"
"Fagnano","43.52848","11.17407"
"Fagnano","43.834691","10.455723"
"Fagno","43.97029","10.82817"
"Faltugnano","43.79803","10.95611"
"Farneta","43.863639","10.42123"
"Farnocchia","43.98034","10.29402"
"Fiano","43.939435","10.428237"
"Fibbialla","43.94838","10.69047"
"Fibbialla","43.88894","10.38029"
"Figline Valdarno; Castel Guineldo","43.62015","11.47382"
"Firenze","43.76667","11.25"
"Montuolo","43.838228","10.447245"
"Flesso","43.69364","10.58747"
"Flexo","43.76435","11.3322"
"Fondagno","43.949943","10.451703"
"Villa Forci","43.894793","10.433826"
"Forcoli","43.60647","10.70531"
"Frassine; Corte; Gualdo del Re","43.11751","10.76768"
"Fratta","43.28366","11.81463"
"S. Martino in Freddana","43.908961","10.433477"
"Fregionaia","43.850658","10.424495"
"Formentale","43.866006","10.400019"
"Fucecchio","43.73242","10.804126"
"Fundagnano","43.62184","11.17803"
"Gattaiola","43.824878","10.468496"
"Gello di Camaiore","43.95419","10.3084"
"S. Gennaro","43.900646","10.634748"
"S. Ginese di Compito","43.80386","10.57966"
"S. Maria del Giudice","43.780089","10.452733"
"Giuliano","43.60399","11.88536"
"S. Giusto di Brancoli","43.93069","10.522548"
"Gombitelli","43.92237","10.37498"
"Puosi","43.91165","10.37061"
"Pieve S. Paolo","43.831395","10.552114"
"Gragliana","44.00364","10.40446"
"Gragnana di Carrara","44.10214","10.08648"
"Gragnana","44.19582","10.27581"
"Cimitero di Gragnana","44.31704","9.98307"
"Gragnano","43.88677","10.83902"
"Gragnano","43.878128","10.625485"
"Gragnano","43.58175","12.09667"
"Monte Gragno","44.03456","10.44603"
"Gragnola","44.1935","10.11015"
"Granaiola","44.01856","10.57589"
"Gregnano","43.68027","11.99026"
"Greppolungo","43.95583","10.30217"
"Montebello","43.94809","10.28964"
"S. Donato in Greti","43.75355","10.92686"
"Gualdo","43.20423","10.70183"
"Gualdo","43.80095","11.61138"
"Gualdo","43.86639","11.22627"
"Gualdo","43.897676","10.360802"
"Gugliano","43.94342","10.86611"
"Gugliano di Comeana","43.8003","11.04187"
"Gugliano","43.920494","10.480534"
"Alpe di Barga; Lago Santo","44.13882","10.58564"
"Lago Sibolla","43.82813","10.70032"
"Lammari","43.870262","10.565022"
"Lamole","43.55097","11.35749"
"Migliano","43.60486","10.5287"
"Limano","44.050344","10.680468"
"Lombrici","43.954275","10.319197"
"Loppeglia","43.936663","10.429611"
"Loppia","44.05856","10.49056"
"Cappella","43.894808","10.481611"
"Lucca","43.84357","10.50585"
"Lugnano","44.03385","10.57989"
"Lunata","43.856164","10.564129"
"S. Macario in Monte","43.880141","10.425478"
"S. Macario in Piano","43.860805","10.43601"
"Pian di Mugnone","43.82023","11.29589"
"Querce","43.79907","10.75758"
"La Querce","43.2802","11.73975"
"Maggiano; Cappella S. Miniato","43.59711","11.09579"
"Maggiano","43.85586","10.413661"
"Mammoli","43.903888","10.503062"
"Manliana","42.84359","10.82734"
"Maona","43.90911","10.78378"
"S. Pietro a Marcigliano","43.905383","10.608016"
"S. Marco","43.85446","10.51598"
"Marlia","43.893625","10.560212"
"Marliana","43.93545","10.77145"
"Marliano","43.73696","11.09696"
"S. Martino a Castiglione","43.68504","10.83401"
"Villa delle Maschere","43.99668","11.26567"
"Massa Buggianese","43.91086","10.74615"
"Massa","44.034823","10.147989"
"Massa Macinaia","43.804586","10.5444"
"Massa Pisana","43.812548","10.487026"
"Massaciuccoli","43.834615","10.360477"
"Massarosa","43.87156","10.344295"
"Matraia","43.912026","10.571959"
"Meati","43.831913","10.454909"
"Migliano","43.910962","10.379275"
"Mommio","43.910618","10.285617"
"Mommio","44.25314","10.19421"
"Monsagrati","43.917651","10.418937"
"Montale di Barga","44.07764","10.52578"
"S. Margherita a Montici","43.74664","11.2685"
"Montignoso","44.019122","10.180278"
"Monzone di Pescia","43.91552","10.68612"
"S. Gemignano","43.912985","10.536685"
"Moriano","43.89145","10.521632"
"S. Quirico di Moriano","43.88803","10.51777"
"Sesto di Moriano","43.917917","10.521417"
"Mugnana","43.64553","11.32458"
"Mugnano","43.24951","11.31748"
"Mugnano","43.70851","10.78782"
"Mugnano","43.69917","10.70443"
"Montemagno","43.910664","10.340256"
"Montemagno di Tizzana","43.84892","10.93975"
"Nave","43.853771","10.454789"
"Convento di Nicosia","43.71707","10.52247"
"Nocchi","43.921745","10.342878"
"Noce","43.69236","10.53449"
"Noce","44.34936","9.7727"
"Nocicchio","43.68924","10.86204"
"Nozzano","43.834684","10.419592"
"Ombreglio","43.937872","10.54381"
"Villa Orbana","43.85745","11.27365"
"Villa Orbana","43.58449","10.66884"
"Urbana","43.64482","11.03491"
"Orbicciano","43.91198","10.39346"
"Orbignano di Lamporecchio","43.80696","10.92036"
"Convento Montecarlo","43.54865","11.53133"
"Montecarlo","43.851726","10.670221"
"Monte La Torre","43.95336","10.32491"
"Montecatini di Val di Cecina","43.39418","10.75284"
"Montecatini Alto","43.89862","10.79015"
"Monteggiori","43.94842","10.26801"
"Monte S. Quirico","43.860348","10.502421"
"Rotaio","43.9415","10.25326"
"Piazza al Serchio","44.18341","10.3005"
"Piazzano","43.891752","10.398319"
"Picciorna","43.854952","10.550842"
"S. Pietro; Querceto","43.57059","10.66785"
"Pietra Fitta di Calci","43.73238","10.52622"
"Pietrasanta","43.958506","10.229307"
"Greco e Pieve S. Stefano","43.886755","10.447083"
"Pisa","43.71662","10.40081"
"Ponte a Moriano","43.910169","10.523281"
"Ponte d'Agliana","43.90385","11.0263"
"Pontemazzoli","43.915851","10.324978"
"Ponte S. Pietro","43.854797","10.444224"
"Pontetetto","43.822159","10.494424"
"Porto Pisano; Carraja di Porto Pisano","43.5799","10.30464"
"S. Margherita","43.89579","11.49972"
