town,lon,lat,ct,,
Pruno,10.31117,44.01104,3,,
Corsena,10.5918,44.01583,4,,
Montignoso,10.17151,44.01946,1,,
Massa,10.14628,44.03577,8,,
Limano,10.68183,44.04947,1,,
Coreglia Antelminelli,10.52666,44.06559,3,,
Barga,10.48694,44.07464,4,,
Catagnana,10.49295,44.0882,1,,
Piaggiori,43.885337,10.598545,14,,
Casella,43.888273,10.326047,1,,
Mastiano,43.910796,10.489255,50,,3100
