Object ID,Description
6991,lined
6991,parti-colored
6992,parti-colored
6992,tondam
6993,cinches
6993,lined
6994,lined
6995,parti-colored
6995,tondam
6999,lined
7000,duplex
7000,hood
7000,lined
7000,parti-colored
7001,lined
7002,doubled
7025,lined
7026,lined
7028,tondam
7029,tondam
7030,German
7031,lined
7066,tondam
7129,fringed
7148,lined
7156,checkered
7156,lined
7156,parti-colored
7182,accordellatum
7190,parti-colored
7210,lined
7211,German
7250,German
7263,hood
7263,tondam
7289,buttons
7289,epaulettes
7289,fringed
7289,lined
7289,tondam
7290,tondam
7340,checkered
7340,lined
7341,parti-colored
7347,lined
7406,lined
7409,parti-colored
7411,lined
7412,striped
7414,buttons
7414,parti-colored
7444,lined
7446,lined
7456,without basting
7482,lined
7482,parti-colored
7579,lined
7580,parti-colored
7580,striped
7623,lined
7668,parti-colored
7686,striped
7688,German
7746,planqua
7757,purse
7830,lined
7836,decorated
7836,lined
7837,buttons
7838,lined
7840,causana
7841,lined
7992,French
8137,lined
8196,Lombard
8210,dauratam
8277,fringed
8277,lined
8277,stacados
8277,tassels
8278,piping
8389,caffarin
8389,lined
8544,buttons
8545,piping
8545,tassels
8696,checkered
8741,tassels
8756,pelisse
8777,hood
8809,cinch
8809,riveted
8839,feathers
8843,French
8847,checkered
9177,lined
9192,without sleeves
9196,parti-colored
9345,hood
9347,lined
9389,hood
9389,lined
9392,lined
9480,ambus
9483,alb
9483,amicus
9483,maniple
9483,stole
9569,lined
9608,Florentine
9608,hood
9608,lined
9609,lined
9613,lined
9631,lined
9632,parti-colored
9635,marten
9945,purse
9945,ribbon
10178,buttons
10680,gilded
10927,buttons
10927,damask
10927,fringed
10930,gilded
10936,lined
10964,buttons
10964,gilded
10965,ribbon
10972,gilded
11248,lined
11316,lined
11317,lined
11322,coarse
11323,coarse
11325,coarse
11352,knife
11352,scarrella (blade?)
11518,buttons
11520,lined
11520,sayha
11531,funella
11531,pendenti
11531,riveted
11652,lined
11939,lined
11941,lined
12926,lined
12926,mantlet
13085,lined
13105,lined
13202,parti-colored
13205,lined
13206,lined
13216,buckle
13216,hasp
13216,keys
13254,edging
13255,lined
13256,lined
13259,buttons
13261,lined
13374,lined
13378,buttons
13379,lined
13380,lined
13382,flowers?
13384,lined
13835,hook
13940,lined
13942,gilded
14131,lined
14136,Genoese
14136,lined
14136,trimmed
14137,lined
14137,wedding
14138,lined
14143,lined
14143,parti-colored
14144,lined
14145,duplex
14145,hood
14145,lined
14145,parti-colored
14987,lined
14987,mantlet
15265,lined
